name,zone,category,top,psf1,psf1_date,psf2,psf2_date,notes,link,psf1_max,psf1_max_date,psf2_max,psf2_max_date,psf1_avg,psf1_avg_date,psf2_avg,psf2_avg_date,psf1_new,psf1_new_date,psf2_new,psf2_new_date,psf1_2018,psf1_2018_date,psf2_2018,psf2_2018_date,psf1_2019,psf1_2019_date,psf2_2019,psf2_2019_date,psf1_2020,psf1_2020_date,psf2_2020,psf2_2020_date,psf1_2021,psf1_2021_date,psf2_2021,psf2_2021_date,psf1_2022,psf1_2022_date,psf2_2022,psf2_2022_date,psf1_2023,psf1_2023_date,psf2_2023,psf2_2023_date
CARIBBEAN AT KEPPEL BAY,,RCR - [D04],,1880,1/5/2023,1822,1/5/2023, ,https://share.ecoprop.com/CARIBBEAN-AT-KEPPEL-BAY/R065963D,1991,1/3/2023,2004,1/3/2023,1872,half year,1786,half year,0,NaT,0,NaT,0,no sales,0,no sales,1650,2019,1451,2019,1614,2020,1398,2020,1672,2021,1523,2021,1797,2022,1687,2022,1872,2023,1786,2023
CARISSA PARK CONDOMINIUM,,OCR - [D17],,1043,1/4/2023,1118,1/4/2023, ,https://share.ecoprop.com/CARISSA-PARK-CONDOMINIUM/R065963D,1262,1/10/2022,1126,1/9/2022,1043,half year,1013,half year,0,NaT,0,NaT,0,no sales,833,2018,924,2019,865,2019,863,2020,863,2020,907,2021,911,2021,1059,2022,1032,2022,1043,2023,1013,2023
CASABELLA,,CCR - [D10],,1929,1/1/2023,2059,1/4/2023, ,https://share.ecoprop.com/CASABELLA/R065963D,1929,1/1/2023,2059,1/4/2023,1929,half year,2059,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1429,2019,0,no sales,1322,2020,1767,2021,1666,2021,1919,2022,2002,2022,1929,2023,2059,2023
CASABLANCA,,OCR - [D25],,1104,1/5/2023,1026,1/5/2023, ,https://share.ecoprop.com/CASABLANCA/R065963D,1104,1/5/2023,1036,1/3/2023,1049,half year,981,half year,0,NaT,0,NaT,818,2018,759,2018,778,2019,761,2019,781,2020,730,2020,814,2021,770,2021,920,2022,950,2022,1049,2023,981,2023
CASAFINA,,OCR - [D16],,897,1/1/2021,1142,1/5/2023, ,https://share.ecoprop.com/CASAFINA/R065963D,897,1/1/2021,1276,1/2/2023,897,no sales,1166,half year,0,NaT,0,NaT,0,no sales,906,2018,0,no sales,911,2019,808,2020,866,2020,897,2021,935,2021,0,no sales,990,2022,0,no sales,1166,2023
CASCADALE,,OCR - [D16],,0,no sales,1086,1/4/2023, ,https://share.ecoprop.com/CASCADALE/R065963D,0,no sales,1127,1/2/2023,0,no sales,1106,half year,0,no sales,0,NaT,0,no sales,0,no sales,0,no sales,928,2019,0,no sales,951,2020,0,no sales,931,2021,0,no sales,1035,2022,0,no sales,1106,2023
CASHEW HEIGHTS CONDOMINIUM,,OCR - [D23],,0,no sales,1480,1/4/2023, ,https://share.ecoprop.com/CASHEW-HEIGHTS-CONDOMINIUM/R065963D,0,no sales,1543,1/3/2023,0,no sales,1444,half year,0,no sales,0,NaT,0,no sales,1194,2018,0,no sales,1143,2019,0,no sales,1169,2020,0,no sales,1268,2021,0,no sales,1411,2022,0,no sales,1444,2023
CASPIAN,,OCR - [D22],,1262,1/5/2023,1511,1/5/2023, ,https://share.ecoprop.com/CASPIAN/R065963D,1519,1/4/2023,1511,1/5/2023,1336,half year,1374,half year,0,NaT,0,NaT,1231,2018,1110,2018,1099,2019,1074,2019,1206,2020,1094,2020,1211,2021,1159,2021,1279,2022,1249,2022,1336,2023,1374,2023
CASTLE GREEN,,OCR - [D26],,1170,1/2/2023,1227,1/4/2023, ,https://share.ecoprop.com/CASTLE-GREEN/R065963D,1170,1/2/2023,1227,1/4/2023,1170,half year,1185,half year,0,NaT,0,NaT,861,2018,862,2018,876,2019,853,2019,880,2020,890,2020,909,2021,956,2021,1036,2022,1079,2022,1170,2023,1185,2023
CASUARINA COVE,,RCR - [D15],,1437,1/11/2021,1530,1/5/2023, ,https://share.ecoprop.com/CASUARINA-COVE/R065963D,1460,1/9/2022,1530,1/5/2023,1437,no sales,1451,half year,0,NaT,0,NaT,0,no sales,0,no sales,0,no sales,1227,2019,0,no sales,1182,2020,1393,2021,1228,2021,0,no sales,1420,2022,0,no sales,1451,2023
